"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 08 19:32:22 MSK 2021","Thu Jul 08 19:32:23 MSK 2021","1096","test","test_add_group","","","","test_add_group[None:nameRB; headerHo5gpumPN9N7NHfP; footerEOS7aByGML6]",""
"passed","Thu Jul 08 19:32:11 MSK 2021","Thu Jul 08 19:32:11 MSK 2021","617","test","test_add_group","","","","test_add_group[None:; ; ]",""
"passed","Thu Jul 08 19:32:23 MSK 2021","Thu Jul 08 19:32:24 MSK 2021","1057","test","test_add_group","","","","test_add_group[None:name; headerILZuyLHFaT9; footercvrUj8Ild3P]",""
"passed","Thu Jul 08 19:32:18 MSK 2021","Thu Jul 08 19:32:19 MSK 2021","1141","test","test_add_group","","","","test_add_group[None:nameKZSCb; headerIuRK9UHCi0g; footerzu8N9lOzurmZtOVm]",""
"passed","Thu Jul 08 19:32:17 MSK 2021","Thu Jul 08 19:32:18 MSK 2021","1090","test","test_add_group","","","","test_add_group[None:name7k27OD8i0; headerZZ; footerjmoWZgnhlbCR]",""
"passed","Thu Jul 08 19:32:19 MSK 2021","Thu Jul 08 19:32:21 MSK 2021","1053","test","test_add_group","","","","test_add_group[None:name4ptVf; headerAFrOaflQB6Idcfh5D; footerG9ZaewZmm0mHbj]",""
"passed","Thu Jul 08 19:32:15 MSK 2021","Thu Jul 08 19:32:16 MSK 2021","1132","test","test_add_group","","","","test_add_group[None:nameF7; headerYpAU; footer7syUPnL3hwz]",""
"passed","Thu Jul 08 19:32:21 MSK 2021","Thu Jul 08 19:32:22 MSK 2021","1046","test","test_add_group","","","","test_add_group[None:nameJaioo7; headeraML; footerBKe]",""
"passed","Thu Jul 08 19:32:16 MSK 2021","Thu Jul 08 19:32:17 MSK 2021","1150","test","test_add_group","","","","test_add_group[None:name; headerl; footerMitOF6aIZhe5W]",""
"passed","Thu Jul 08 19:32:13 MSK 2021","Thu Jul 08 19:32:15 MSK 2021","1148","test","test_add_group","","","","test_add_group[None:namevQ; headerkTiY9icnYJPSQnHDb; footerWR0hsZheQ40c]",""
"passed","Thu Jul 08 19:32:12 MSK 2021","Thu Jul 08 19:32:13 MSK 2021","1896","test","test_add_group","","","","test_add_group[None:namerUUXXA3; headereblqh; footerHQWjrVuPGdcnNl]",""
